"gender"	"age"	"attitude"	"deep"	"stra"	"surf"	"points"
"1"	"M"	55	31	2.91666666666667	2.75	3.16666666666667	12
"2"	"F"	49	25	3.5	3.625	2.25	24
"3"	"M"	53	35	3.5	3.125	2.25	10
"4"	"M"	49	37	3.66666666666667	3.625	2.83333333333333	22
"5"	"F"	38	38	4.75	3.625	2.41666666666667	21
"6"	"M"	50	35	3.83333333333333	2.25	1.91666666666667	21
"7"	"F"	37	29	3.25	4	2.83333333333333	31
"8"	"M"	37	38	4.33333333333333	4.25	2.16666666666667	24
"9"	"F"	42	21	4	3.5	3	26
"10"	"M"	37	39	3.58333333333333	3.625	2.66666666666667	31
"11"	"F"	34	38	3.83333333333333	4.75	2.41666666666667	31
"12"	"F"	34	24	4.25	3.625	2.25	23
"13"	"F"	34	30	3.33333333333333	3.5	2.75	25
"14"	"M"	35	26	4.16666666666667	1.75	2.33333333333333	21
"15"	"F"	33	41	3.66666666666667	3.875	2.33333333333333	31
"16"	"F"	32	26	4.08333333333333	1.375	2.91666666666667	20
"17"	"F"	44	26	3.5	3.25	2.5	22
"18"	"M"	29	17	4.08333333333333	3	3.75	9
"19"	"F"	30	27	4	3.75	2.75	24
"20"	"M"	27	39	3.91666666666667	2.625	2.33333333333333	28
"21"	"M"	29	34	4	2.375	2.41666666666667	30
"22"	"F"	31	27	4	3.625	3	24
"23"	"F"	37	23	3.66666666666667	2.75	2.41666666666667	9
"24"	"F"	26	37	3.66666666666667	1.75	2.83333333333333	26
"25"	"F"	26	44	4.41666666666667	3.25	3.16666666666667	32
"26"	"M"	30	41	3.91666666666667	4	3	32
"27"	"F"	33	37	3.75	3.625	2	33
"28"	"F"	33	25	3.25	2.875	3.5	29
"29"	"M"	28	30	3.58333333333333	3	3.75	30
"30"	"M"	26	34	4.91666666666667	1.625	2.5	19
"31"	"F"	27	32	3.58333333333333	3.25	2.08333333333333	23
"32"	"F"	25	20	2.91666666666667	3.5	2.41666666666667	19
"33"	"F"	31	24	3.66666666666667	3	2.58333333333333	12
"34"	"M"	20	42	4.5	3.25	1.58333333333333	10
"35"	"F"	39	16	4.08333333333333	1.875	2.83333333333333	11
"36"	"M"	38	31	3.83333333333333	4.375	1.83333333333333	20
"37"	"M"	24	38	3.25	3.625	2.41666666666667	26
"38"	"M"	26	38	2.33333333333333	2.5	3.25	31
"39"	"M"	25	33	3.33333333333333	1.25	3.41666666666667	20
"40"	"F"	30	17	4.08333333333333	4	3.41666666666667	23
"41"	"F"	25	25	2.91666666666667	3	3.16666666666667	12
"42"	"M"	30	32	3.33333333333333	2.5	3.5	24
"43"	"F"	48	35	3.83333333333333	4.875	2.66666666666667	17
"44"	"F"	24	32	3.66666666666667	5	2.41666666666667	29
"45"	"F"	40	42	4.66666666666667	4.375	3.58333333333333	23
"46"	"M"	25	31	3.75	3.25	2.08333333333333	28
"47"	"F"	23	39	3.41666666666667	4	3.75	31
"48"	"F"	25	19	4.16666666666667	3.125	2.91666666666667	23
"49"	"F"	23	21	2.91666666666667	2.5	2.91666666666667	25
"50"	"M"	27	25	4.16666666666667	3.125	2.41666666666667	18
"51"	"M"	25	32	3.58333333333333	3.25	3	19
"52"	"M"	23	32	2.83333333333333	2.125	3.41666666666667	22
"53"	"F"	23	26	4	2.75	2.91666666666667	25
"54"	"F"	23	23	2.91666666666667	2.375	3.25	21
"55"	"F"	45	38	3	3.125	3.25	9
"56"	"F"	22	28	4.08333333333333	4	2.33333333333333	28
"57"	"F"	23	33	2.91666666666667	4	3.25	25
"58"	"M"	21	48	3.5	2.25	2.5	29
"59"	"M"	21	40	4.33333333333333	3.25	1.75	33
"60"	"F"	21	40	4.25	3.625	2.25	33
"61"	"F"	21	47	3.41666666666667	3.625	2.08333333333333	25
"62"	"F"	26	23	3.08333333333333	2.5	2.83333333333333	18
"63"	"F"	25	31	4.58333333333333	1.875	2.83333333333333	22
"64"	"F"	26	27	3.41666666666667	2	2.41666666666667	17
"65"	"M"	21	41	3.41666666666667	1.875	2.25	25
"66"	"F"	23	34	3.41666666666667	4	2.83333333333333	28
"67"	"F"	22	25	3.58333333333333	2.875	2.25	22
"68"	"F"	22	21	1.58333333333333	3.875	1.83333333333333	26
"69"	"F"	22	14	3.33333333333333	2.5	2.91666666666667	11
"70"	"F"	23	19	4.33333333333333	2.75	2.91666666666667	29
"71"	"M"	22	37	4.41666666666667	4.5	2.08333333333333	22
"72"	"M"	23	32	4.83333333333333	3.375	2.33333333333333	21
"73"	"M"	24	28	3.08333333333333	2.625	2.41666666666667	28
"74"	"F"	22	41	3	4.125	2.75	33
"75"	"F"	23	25	4.08333333333333	2.625	3.25	16
"76"	"M"	22	28	4.08333333333333	2.25	1.75	31
"77"	"M"	20	38	3.75	2.75	2.58333333333333	22
"78"	"M"	22	31	3.08333333333333	3	3.33333333333333	31
"79"	"M"	21	35	4.75	1.625	2.83333333333333	23
"80"	"F"	22	36	4.25	1.875	2.5	26
"81"	"F"	23	26	4.16666666666667	3.375	2.41666666666667	12
"82"	"M"	21	44	4.41666666666667	3.75	2.41666666666667	26
"83"	"M"	22	45	3.83333333333333	2.125	2.58333333333333	31
"84"	"M"	29	32	3.33333333333333	2.375	3	19
"85"	"F"	29	39	3.16666666666667	2.75	2	30
"86"	"F"	21	25	3.16666666666667	3.125	3.41666666666667	12
"87"	"M"	28	33	3.83333333333333	3.5	2.83333333333333	17
"88"	"F"	21	33	4.25	2.625	2.25	18
"89"	"F"	30	30	3.83333333333333	3.375	2.75	19
"90"	"F"	21	29	3.66666666666667	2.25	3.91666666666667	21
"91"	"M"	23	33	3.83333333333333	3	2.33333333333333	24
"92"	"F"	21	33	3.83333333333333	4	2.75	28
"93"	"F"	21	35	3.83333333333333	3.5	2.75	17
"94"	"F"	20	36	3.66666666666667	2.625	2.91666666666667	18
"95"	"M"	22	37	4.33333333333333	2.5	2.08333333333333	17
"96"	"M"	21	42	3.75	3.75	3.66666666666667	23
"97"	"M"	21	32	4.16666666666667	3.625	2.83333333333333	26
"98"	"F"	20	50	4	4.125	3.41666666666667	28
"99"	"M"	22	47	4	4.375	1.58333333333333	31
"100"	"F"	20	36	4.58333333333333	2.625	2.91666666666667	27
"101"	"F"	20	36	3.66666666666667	4	3	25
"102"	"M"	24	29	3.66666666666667	2.75	2.91666666666667	23
"103"	"F"	20	35	3.83333333333333	2.75	2.66666666666667	21
"104"	"F"	19	40	2.58333333333333	1.375	3	27
"105"	"F"	21	35	3.5	2.25	2.75	28
"106"	"F"	21	32	3.08333333333333	3.625	3.08333333333333	23
"107"	"F"	22	26	4.25	3.75	2.5	21
"108"	"F"	25	20	3.16666666666667	4	2.33333333333333	25
"109"	"F"	21	27	3.08333333333333	3.125	3	11
"110"	"F"	22	32	4.16666666666667	3.25	3	19
"111"	"F"	25	33	2.25	2.125	4	24
"112"	"F"	20	39	3.33333333333333	2.875	3.25	28
"113"	"M"	24	33	3.08333333333333	1.5	3.5	21
"114"	"F"	20	30	2.75	2.5	3.5	24
"115"	"M"	21	37	3.25	3.25	3.83333333333333	24
"116"	"F"	20	25	4	3.625	2.91666666666667	20
"117"	"F"	20	29	3.58333333333333	3.875	2.16666666666667	19
"118"	"M"	31	39	4.08333333333333	3.875	1.66666666666667	30
"119"	"F"	20	36	4.25	2.375	2.08333333333333	22
"120"	"F"	22	29	3.41666666666667	3	2.83333333333333	16
"121"	"F"	22	21	3.08333333333333	3.375	3.41666666666667	16
"122"	"M"	21	31	3.5	2.75	3.33333333333333	19
"123"	"M"	22	40	3.66666666666667	4.5	2.58333333333333	30
"124"	"F"	21	31	4.25	2.625	2.83333333333333	23
"125"	"F"	21	23	4.25	2.75	3.33333333333333	19
